Fecha|Id_stock|URL_actual|Tamaño_coches|Posicion_coche|Total_paginas|URL_auto|URL_image|Estatus|T_invenario|Marca|Modelo|Version|Año|Km|Transmision|Costo_normal|Oferta|Mensualidades|Ubicacion
2025-03-12 01:13:34.807108|106243|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|0|191|https://www.kavak.com/mx/usado/audi-a8-40_premium_lwb_auto_4wd-sedan-2018|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTA2MjQzL2E4LXF1YXR0cm8tYXVkaS1wcmVtaXVtLWwtMjAxOC1leHRlcmlvci1mcm9udHNpZGVwaWxvdG5lYXItMTYyNDg5MDAxNDQ0OTMuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo1NDAsImhlaWdodCI6MzEwLCJiYWNrZ3JvdW5kIjp7InIiOjI1NSwiZyI6MjU1LCJiIjoyNTUsImFscGhhIjowfX19fQ==|Outlet|Sin datos|Audi|A8|4.0 PREMIUM LWB AUTO 4WD|2018|35,005 km|Automático|$1,282,999|1,089,999|$12,956 / mes*|Guadalajara
2025-03-12 01:13:34.857100|384271|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|1|191|https://www.kavak.com/mx/usado/bmw-serie_2-30_m2_competition_dct-coupe-2021|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzg0MjcxL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzQxMDQ1MTU2OTAzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Bmw|Serie 2|3.0 M2 COMPETITION DCT|2021|18,000 km|Automático|Sin datos|1,031,999|$12,301 / mes*|Ciudad de México
2025-03-12 01:13:34.907060|375029|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|2|191|https://www.kavak.com/mx/usado/land_rover-range_rover_evoque-15_phev_p300_r_dynamic_s_auto_awd-suv-2023|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzc1MDI5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzM2ODcxMDcwNTAwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Land Rover|Range Rover Evoque|1.5 PHEV P300 R-DYNAMIC S AUTO AWD|2023|21,000 km|Automático|Sin datos|1,019,999|$12,165 / mes*|Ciudad de México
2025-03-12 01:13:34.967029|377750|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|3|191|https://www.kavak.com/mx/usado/porsche-cayenne-29_s_auto_4wd-suv-2019|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzc3NzUwL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzM3OTk3NzAyODUyLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Porsche|Cayenne|2.9 S AUTO 4WD|2019|43,663 km|Automático|Sin datos|1,015,999|$12,120 / mes*|Guadalajara
2025-03-12 01:13:35.010464|373180|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|4|191|https://www.kavak.com/mx/usado/ram-ram_1500-57_mhev_longhorn_crew_cab_auto_4wd-pickup-2022|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzczMTgwL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzM2MjgzNTc5NTExLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Ram|Ram 1500|5.7 MHEV LONGHORN CREW CAB AUTO 4WD|2022|16,436 km|Automático|Sin datos|1,005,999|$12,007 / mes*|Ciudad de México
2025-03-12 01:13:35.060440|382866|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|5|191|https://www.kavak.com/mx/usado/jeep-wrangler-36_mhev_unlimited_rubicon_auto_4wd-suv-2023|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzgyODY2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzM5NjQ4MTEyNDM2LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Jeep|Wrangler|3.6 MHEV UNLIMITED RUBICON AUTO 4WD|2023|17,504 km|Automático|Sin datos|990,999|$11,838 / mes*|Ciudad de México
2025-03-12 01:13:35.110418|388240|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|6|191|https://www.kavak.com/mx/usado/tesla-model_y-bev_75kwh_performance_auto_4wd-suv-2023|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzg4MjQwL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzQxMzY3ODc3OTMzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Tesla|Model Y|BEV 75KWH PERFORMANCE AUTO 4WD|2023|5,128 km|Automático|Sin datos|975,999|$11,668 / mes*|Ciudad de México
2025-03-12 01:13:35.160401|382934|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|7|191|https://www.kavak.com/mx/usado/jeep-wrangler-36_mhev_unlimited_rubicon_auto_4wd-suv-2023|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzgyOTM0L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzQwMDY1MDI0MTAzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Jeep|Wrangler|3.6 MHEV UNLIMITED RUBICON AUTO 4WD|2023|25,737 km|Automático|Sin datos|968,999|$11,589 / mes*|Querétaro
2025-03-12 01:13:35.215690|383097|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|8|191|https://www.kavak.com/mx/usado/gmc-sierra-62_denali_e_auto_4wd-pickup-2020|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzgzMDk3L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzQwMDcxODg1NzY3LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Gmc|Sierra|6.2 DENALI E AUTO 4WD|2020|26,520 km|Automático|Sin datos|921,999|$11,058 / mes*|Querétaro
2025-03-12 01:13:35.268563|389933|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|9|191|https://www.kavak.com/mx/usado/mercedes_benz-clase_gle-30_mercedes_amg_gle_43_coupe_auto_4wd-suv-2019|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvNDg1NTgyMTQvRVhURVJJT1ItZnJvbnRTaWRlUGlsb3QtMC0yMDI1LTAzLTExVDA0NDkwMzE5My5qcGVnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo1NDAsImhlaWdodCI6MzEwLCJiYWNrZ3JvdW5kIjp7InIiOjI1NSwiZyI6MjU1LCJiIjoyNTUsImFscGhhIjowfX19fQ==|Recién publicado|Sin datos|Mercedes Benz|Clase GLE|3.0 MERCEDES-AMG GLE 43 COUPE AUTO 4WD|2019|80,556 km|Automático|Sin datos|916,999|$11,001 / mes*|Guadalajara
